,Date,Région,Total énergie soutirée (Wh)
0,2022-04-01,Centre-Val de Loire,30265.679008
1,2022-04-01,Hauts-de-France,54847.441743
2,2022-04-02,Centre-Val de Loire,32306.580289
3,2022-04-02,Hauts-de-France,58278.870062
4,2022-04-03,Centre-Val de Loire,32074.36043
5,2022-04-03,Hauts-de-France,57903.329825
6,2022-04-04,Centre-Val de Loire,30445.11287
7,2022-04-04,Hauts-de-France,55265.436527
8,2022-04-05,Centre-Val de Loire,27201.091772
9,2022-04-05,Hauts-de-France,49762.678891
10,2022-04-06,Centre-Val de Loire,25592.111457
11,2022-04-06,Hauts-de-France,47130.099537
12,2022-04-07,Centre-Val de Loire,24289.648419
13,2022-04-07,Hauts-de-France,44902.86264
14,2022-04-08,Centre-Val de Loire,24619.045325
15,2022-04-08,Hauts-de-France,45619.544553
16,2022-04-09,Centre-Val de Loire,25754.610682
17,2022-04-09,Hauts-de-France,47552.590289
18,2022-04-10,Centre-Val de Loire,25113.662634
19,2022-04-10,Hauts-de-France,46364.882647
20,2022-04-11,Centre-Val de Loire,22476.943718
21,2022-04-11,Hauts-de-France,41888.174266
22,2022-04-12,Centre-Val de Loire,20162.565951
23,2022-04-12,Hauts-de-France,37970.489629
24,2022-04-13,Centre-Val de Loire,19578.681689
25,2022-04-13,Hauts-de-France,37007.283544
26,2022-04-14,Centre-Val de Loire,18293.284455
27,2022-04-14,Hauts-de-France,34761.946222
28,2022-04-15,Centre-Val de Loire,17268.472009
29,2022-04-15,Hauts-de-France,33061.440159
30,2022-04-16,Centre-Val de Loire,16784.501825
31,2022-04-16,Hauts-de-France,32228.286906
32,2022-04-17,Centre-Val de Loire,16566.951817
33,2022-04-17,Hauts-de-France,31736.418478
34,2022-04-18,Centre-Val de Loire,16793.780319
35,2022-04-18,Hauts-de-France,32231.448204
36,2022-04-19,Centre-Val de Loire,17579.061718
37,2022-04-19,Hauts-de-France,33736.324646
38,2022-04-20,Centre-Val de Loire,18187.423061
39,2022-04-20,Hauts-de-France,34860.329249
40,2022-04-21,Centre-Val de Loire,17955.220422
41,2022-04-21,Hauts-de-France,34475.540801
42,2022-04-22,Centre-Val de Loire,17418.745873
43,2022-04-22,Hauts-de-France,33567.523071
44,2022-04-23,Centre-Val de Loire,17978.954855
45,2022-04-23,Hauts-de-France,34674.057339
46,2022-04-24,Centre-Val de Loire,18389.785953
47,2022-04-24,Hauts-de-France,35436.636887
48,2022-04-25,Centre-Val de Loire,18128.989693
49,2022-04-25,Hauts-de-France,35000.940732
50,2022-04-26,Centre-Val de Loire,17870.073887
51,2022-04-26,Hauts-de-France,34533.280758
52,2022-04-27,Centre-Val de Loire,17535.103466
53,2022-04-27,Hauts-de-France,34033.782404
54,2022-04-28,Centre-Val de Loire,16933.157949
55,2022-04-28,Hauts-de-France,32999.244335
56,2022-04-29,Centre-Val de Loire,16607.461227
57,2022-04-29,Hauts-de-France,32432.46785
58,2022-04-30,Centre-Val de Loire,16792.916955
