,Région,Plage de puissance souscrite,Total énergie soutirée (Wh)
20,Hauts-de-France,P3: ]6-9] kVA,9312.182613288645
19,Hauts-de-France,P2: ]3-6] kVA,8185.941722756498
17,Hauts-de-France,P1: ]0-6] kVA,7144.01251372777
5,Centre-Val de Loire,P3: ]6-9] kVA,5881.8239064145
21,Hauts-de-France,P4: ]9-12] kVA,5520.022560377565
6,Centre-Val de Loire,P4: ]9-12] kVA,3987.835385153215
4,Centre-Val de Loire,P2: ]3-6] kVA,2939.8910840560875
23,Hauts-de-France,P6: ]15-18] kVA,2510.1142994103966
2,Centre-Val de Loire,P1: ]0-6] kVA,2324.3585242120384
29,Hauts-de-France,P9: ]30-36] kVA,2319.6283160998632
8,Centre-Val de Loire,P6: ]15-18] kVA,1678.9089121504787
14,Centre-Val de Loire,P9: ]30-36] kVA,1131.045557132695
22,Hauts-de-France,P5: ]12-15] kVA,1013.5271539302325
7,Centre-Val de Loire,P5: ]12-15] kVA,893.1454228331053
25,Hauts-de-France,P7: ]18-24] kVA,890.913106878249
28,Hauts-de-France,P8: ]24-30] kVA,581.6051619083447
16,Hauts-de-France,P1: ]0-3] kVA,580.8255631614227
10,Centre-Val de Loire,P7: ]18-24] kVA,524.1376554227086
13,Centre-Val de Loire,P8: ]24-30] kVA,342.2544616744186
1,Centre-Val de Loire,P1: ]0-3] kVA,291.3857807264022
18,Hauts-de-France,P1: ]0-9] kVA,270.16081365663473
3,Centre-Val de Loire,P1: ]0-9] kVA,146.68042925718194
27,Hauts-de-France,P7: ]18-36] kVA,63.936775496580026
12,Centre-Val de Loire,P7: ]18-36] kVA,47.50101560328317
26,Hauts-de-France,P7: ]18-30] kVA,42.19303402599179
11,Centre-Val de Loire,P7: ]18-30] kVA,33.75714728317373
24,Hauts-de-France,P6: ]15-36] kVA,12.74758394391245
9,Centre-Val de Loire,P6: ]15-36] kVA,11.594115316005473
0,Centre-Val de Loire,P1 : ]0-12] kVA,0.000529889192886457
15,Hauts-de-France,P1 : ]0-12] kVA,0.0005174541723666211
