,Profil,Plage de puissance souscrite,Région,total_enr_cons
0,ENT1 (+ ENT2),P0: Total <= 36 kVA,Centre-Val de Loire,0.0
1,ENT1 (+ ENT2),P0: Total <= 36 kVA,Hauts-de-France,0.0
2,ENT3 (+ ENT4 + ENT5),P0: Total <= 36 kVA,Centre-Val de Loire,55525154070.0
3,ENT3 (+ ENT4 + ENT5),P0: Total <= 36 kVA,Hauts-de-France,61909023266.0
4,PRO1 (+ PRO1WE),P0: Total <= 36 kVA,Centre-Val de Loire,1265669561180.0
5,PRO1 (+ PRO1WE),P0: Total <= 36 kVA,Hauts-de-France,2705751217898.0
6,PRO1 (+ PRO1WE),P1: ]0-3] kVA,Centre-Val de Loire,35970708536.0
7,PRO1 (+ PRO1WE),P1: ]0-3] kVA,Hauts-de-France,73164078667.0
8,PRO1 (+ PRO1WE),P2: ]3-6] kVA,Centre-Val de Loire,119951341667.0
9,PRO1 (+ PRO1WE),P2: ]3-6] kVA,Hauts-de-France,277701755469.0
10,PRO1 (+ PRO1WE),P3: ]6-9] kVA,Centre-Val de Loire,127052638349.0
11,PRO1 (+ PRO1WE),P3: ]6-9] kVA,Hauts-de-France,267283072212.0
12,PRO1 (+ PRO1WE),P4: ]9-12] kVA,Centre-Val de Loire,153202828784.0
13,PRO1 (+ PRO1WE),P4: ]9-12] kVA,Hauts-de-France,330530696419.0
14,PRO1 (+ PRO1WE),P5: ]12-15] kVA,Centre-Val de Loire,41801086057.0
15,PRO1 (+ PRO1WE),P5: ]12-15] kVA,Hauts-de-France,68998934668.0
16,PRO1 (+ PRO1WE),P6: ]15-18] kVA,Centre-Val de Loire,215009775258.0
17,PRO1 (+ PRO1WE),P6: ]15-18] kVA,Hauts-de-France,440440469827.0
18,PRO1 (+ PRO1WE),P7: ]18-24] kVA,Centre-Val de Loire,120750730179.0
19,PRO1 (+ PRO1WE),P7: ]18-24] kVA,Hauts-de-France,245305013380.0
20,PRO1 (+ PRO1WE),P8: ]24-30] kVA,Centre-Val de Loire,83342213217.0
21,PRO1 (+ PRO1WE),P8: ]24-30] kVA,Hauts-de-France,160847125081.0
22,PRO1 (+ PRO1WE),P9: ]30-36] kVA,Centre-Val de Loire,368637698128.0
